Louisiana Secretary of State,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Statewide Report of Registered Voters,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Statistical_StatewideParty: Statewide Registered Voters by Party and Race
For Registrations From 1/1/1900 To 5/1/2022 AND Status Both",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,------------REGISTERED VOTERS------------,,,,-------------DEMOCRATS--------------,,,,---------------REPUBLICANS---------------,,,,---------------OTHER PARTIES--------------,,,,,,
,NAME,,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,,,
,,,"3,011,269","1,896,847","940,628","173,794","1,200,073","428,933","720,148",50992,"1,001,985","939,546","21,749","40,690","809,211","528,368","198,731","82,112",,,
,ACADIA - 01,,"39,235","31,585","6,878",772,"13,994","8,814","5,022",158,"15,675","15,184",223,268,"9,566","7,587","1,633",346,,,
,ALLEN - 02,,"13,451","10,377","2,457",617,"5,245","3,122","1,924",199,"4,910","4,686",66,158,"3,296","2,569",467,260,,,
,ASCENSION - 03,,"82,995","58,930","19,532","4,533","27,458","11,398","14,978",1082,"32,404","30,687",435,"1,282","23,133","16,845","4,119","2,169",,,
,ASSUMPTION - 04,,"14,808","9,912","4,656",240,"7,725","3,750","3,903",72,"4,019","3,859",109,51,"3,064","2,303",644,117,,,
,AVOYELLES - 05,,"24,111","16,872","6,602",637,"11,129","5,785","5,112",232,"7,195","6,886",181,128,"5,787","4,201","1,309",277,,,
,BEAUREGARD - 06,,"23,085","19,348","2,508","1,229","5,440","3,483","1,738",219,"10,703","10,162",101,440,"6,942","5,703",669,570,,,
,BIENVILLE - 07,,"8,958","4,897","3,966",95,"4,326",982,"3,326",18,"2,917","2,804",78,35,"1,715","1,111",562,42,,,
,BOSSIER - 08,,"75,068","54,496","16,114","4,458","19,649","7,050","11,585",1014,"34,423","32,623",455,"1,345","20,996","14,823","4,074","2,099",,,
,CADDO - 09,,"157,605","76,536","73,703","7,366","73,467","14,260","56,900",2307,"44,471","41,380","1,460","1,631","39,667","20,896","15,343","3,428",,,
,CALCASIEU - 10,,"126,669","89,445","31,462","5,762","45,248","20,305","23,363",1580,"45,042","42,878",864,"1,300","36,379","26,262","7,235","2,882",,,
,CALDWELL - 11,,"6,225","5,276",857,92,"1,845","1,173",653,19,"2,868","2,810",27,31,"1,512","1,293",177,42,,,
,CAMERON - 12,,"5,137","4,932",102,103,"1,473","1,389",66,18,"2,251","2,211",9,31,"1,413","1,332",27,54,,,
,CATAHOULA - 13,,"6,462","4,629","1,774",59,"2,679","1,261","1,404",14,"2,413","2,344",54,15,"1,370","1,024",316,30,,,
,CLAIBORNE - 14,,"8,916","4,819","3,943",154,"3,829",821,"2,954",54,"3,023","2,846",132,45,"2,064","1,152",857,55,,,
,CONCORDIA - 15,,"12,529","7,560","4,753",216,"5,606","1,622","3,924",60,"4,135","3,986",92,57,"2,788","1,952",737,99,,,
,DE SOTO - 16,,"18,869","11,355","6,937",577,"7,733","1,879","5,668",186,"6,862","6,563",127,172,"4,274","2,913","1,142",219,,,
,EAST BATON ROUGE - 17,,"291,368","144,436","129,382","17,550","136,132","30,871","99,905",5356,"79,826","73,714","2,556","3,556","75,410","39,851","26,921","8,638",,,
,EAST CARROLL - 18,,"4,897","1,357","3,493",47,"3,223",354,"2,847",22,794,703,83,8,880,300,563,17,,,
,EAST FELICIANA - 19,,"13,979","8,173","5,334",472,"6,175","1,565","4,348",262,"4,656","4,445",129,82,"3,148","2,163",857,128,,,
,EVANGELINE - 20,,"21,397","15,040","5,989",368,"9,685","4,890","4,694",101,"7,239","6,992",142,105,"4,473","3,158","1,153",162,,,
,FRANKLIN - 21,,"13,589","9,204","4,262",123,"5,229","1,954","3,255",20,"5,546","5,380",115,51,"2,814","1,870",892,52,,,
,GRANT - 22,,"13,000","11,440","1,206",354,"3,211","2,229",922,60,"6,168","5,959",74,135,"3,621","3,252",210,159,,,
,IBERIA - 23,,"46,588","29,303","15,258","2,027","17,998","6,456","11,052",490,"16,170","15,135",525,510,"12,420","7,712","3,681","1,027",,,
,IBERVILLE - 24,,"21,169","10,449","10,256",464,"12,466","3,547","8,740",179,"4,505","4,276",134,95,"4,198","2,626","1,382",190,,,
,JACKSON - 25,,"9,684","6,794","2,692",198,"3,541","1,283","2,214",44,"4,046","3,920",63,63,"2,097","1,591",415,91,,,
,JEFFERSON - 26,,"275,560","165,927","73,634","35,999","105,966","40,447","54,916",10603,"85,752","76,554","1,502","7,696","83,842","48,926","17,216","17,700",,,
,JEFFERSON DAVIS - 27,,"20,856","16,959","3,400",497,"7,058","4,413","2,533",112,"7,918","7,676",92,150,"5,880","4,870",775,235,,,
,LAFAYETTE - 28,,"159,021","112,457","37,773","8,791","49,861","21,493","26,213",2155,"63,521","59,697","1,404","2,420","45,639","31,267","10,156","4,216",,,
,LAFOURCHE - 29,,"59,915","49,682","7,460","2,773","19,267","13,481","5,247",539,"23,865","22,733",240,892,"16,783","13,468","1,973","1,342",,,
,LASALLE - 30,,"8,837","8,007",647,183,"2,109","1,576",495,38,"4,788","4,700",21,67,"1,940","1,731",131,78,,,
,LINCOLN - 31,,"27,006","16,382","9,565","1,059","9,963","2,453","7,145",365,"9,946","9,500",252,194,"7,097","4,429","2,168",500,,,
,LIVINGSTON - 32,,"86,369","77,533","5,650","3,186","17,684","13,097","4,061",526,"43,368","42,081",182,"1,105","25,317","22,355","1,407","1,555",,,
,MADISON - 33,,"7,495","2,577","4,802",116,"4,254",490,"3,732",32,"1,555","1,427",97,31,"1,686",660,973,53,,,
,MOREHOUSE - 34,,"17,752","8,909","8,535",308,"8,266","1,584","6,595",87,"5,476","5,122",274,80,"4,010","2,203","1,666",141,,,
,NATCHITOCHES - 35,,"24,011","13,310","9,613","1,088","10,622","3,127","7,076",419,"7,195","6,688",293,214,"6,194","3,495","2,244",455,,,
,ORLEANS - 36,,"267,224","97,437","145,726","24,061","171,163","44,491","115,965",10707,"26,295","21,333","2,143","2,819","69,766","31,613","27,618","10,535",,,
,OUACHITA - 37,,"103,570","62,795","36,969","3,806","38,203","9,303","27,852",1048,"38,982","37,237",826,919,"26,385","16,255","8,291","1,839",,,
,PLAQUEMINES - 38,,"14,296","9,755","3,222","1,319","5,166","2,189","2,565",412,"5,191","4,758",88,345,"3,939","2,808",569,562,,,
,POINTE COUPEE - 39,,"15,468","9,771","5,439",258,"7,858","3,328","4,456",74,"4,193","4,044",89,60,"3,417","2,399",894,124,,,
,RAPIDES - 40,,"81,880","53,867","24,318","3,695","29,821","10,885","17,972",964,"30,480","28,769",727,984,"21,579","14,213","5,619","1,747",,,
,RED RIVER - 41,,"5,744","3,215","2,445",84,"2,827",790,"2,004",33,"1,813","1,732",55,26,"1,104",693,386,25,,,
,RICHLAND - 42,,"14,030","8,699","5,085",246,"5,317","1,513","3,748",56,"5,409","5,159",168,82,"3,304","2,027","1,169",108,,,
,SABINE - 43,,"14,731","11,180","2,197","1,354","4,686","2,625","1,661",400,"6,543","5,988",76,479,"3,502","2,567",460,475,,,
,ST. BERNARD - 44,,"26,579","18,783","5,777","2,019","10,768","5,869","4,302",597,"6,790","6,273",127,390,"9,021","6,641","1,348","1,032",,,
,ST. CHARLES - 45,,"36,151","25,049","9,111","1,991","12,879","5,240","7,154",485,"13,512","12,729",199,584,"9,760","7,080","1,758",922,,,
,ST. HELENA - 46,,"8,428","3,690","4,602",136,"5,130","1,080","4,019",31,"1,840","1,732",76,32,"1,458",878,507,73,,,
,ST. JAMES - 47,,"15,342","7,363","7,752",227,"9,619","2,805","6,723",91,"3,161","3,005",118,38,"2,562","1,553",911,98,,,
,ST. JOHN THE BAPTIST - 48,,"29,603","10,410","17,677","1,516","17,815","3,201","14,091",523,"4,821","4,207",323,291,"6,967","3,002","3,263",702,,,
,ST. LANDRY - 49,,"58,542","31,837","25,153","1,552","29,293","9,238","19,571",484,"15,807","14,675",752,380,"13,442","7,924","4,830",688,,,
,ST. MARTIN - 50,,"37,058","25,001","11,173",884,"15,227","6,651","8,415",161,"12,652","12,030",357,265,"9,179","6,320","2,401",458,,,
,ST. MARY - 51,,"32,235","19,768","10,645","1,822","12,546","4,105","8,015",426,"10,412","9,670",297,445,"9,277","5,993","2,333",951,,,
,ST. TAMMANY - 52,,"186,527","151,787","22,135","12,605","42,117","23,421","15,887",2809,"87,640","83,012",588,"4,040","56,770","45,354","5,660","5,756",,,
,TANGIPAHOA - 53,,"78,205","54,133","21,136","2,936","27,649","11,355","15,602",692,"28,385","26,941",623,821,"22,171","15,837","4,911","1,423",,,
,TENSAS - 54,,"3,435","1,498","1,901",36,"2,068",385,"1,670",13,836,801,27,8,531,312,204,15,,,
,TERREBONNE - 55,,"63,583","46,653","11,962","4,968","18,565","8,898","8,562",1105,"25,765","23,986",346,"1,433","19,253","13,769","3,054","2,430",,,
,UNION - 56,,"15,673","11,386","3,808",479,"5,179","2,153","2,909",117,"6,884","6,605",145,134,"3,610","2,628",754,228,,,
,VERMILION - 57,,"37,708","31,243","5,137","1,328","12,857","9,011","3,605",241,"14,659","14,003",217,439,"10,192","8,229","1,315",648,,,
,VERNON - 58,,"25,428","20,100","3,276","2,052","6,600","4,060","2,139",401,"11,002","10,138",132,732,"7,826","5,902","1,005",919,,,
,WASHINGTON - 59,,"28,098","19,192","8,235",671,"11,533","4,929","6,416",188,"9,735","9,354",225,156,"6,830","4,909","1,594",327,,,
,WEBSTER - 60,,"23,914","15,640","7,767",507,"9,104","2,852","6,134",118,"8,994","8,649",192,153,"5,816","4,139","1,441",236,,,
,WEST BATON ROUGE - 61,,"17,608","10,171","7,078",359,"8,363","2,551","5,703",109,"4,951","4,784",97,70,"4,294","2,836","1,278",180,,,
,WEST CARROLL - 62,,"7,132","5,995","1,050",87,"1,989","1,223",751,15,"3,416","3,313",64,39,"1,727","1,459",235,33,,,
,WEST FELICIANA - 63,,"7,830","5,395","2,289",146,"2,989",982,"1,978",29,"3,031","2,947",37,47,"1,810","1,466",274,70,,,
,WINN - 64,,"8,631","6,126","2,368",137,"3,186","1,396","1,769",21,"3,141","3,061",44,36,"2,304","1,669",555,80,,,
,,,,,,,,,,,,,,,,,,,,,
